company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Amount,Chicago,Finance,130,0.25,2/27/2023,Unknown,"United States",283
Palantir,Denver,Data,75,0.02,2/27/2023,Post-IPO,"United States.",3000
Outreach,Seattle,Sales,70,0.07,2/27/2023,"Series G","United States",489
Stytch,"SF Bay Area",Security,19,0.25,2/27/2023,"Series B","United States",126
BitSight,"Tel Aviv",Security,40,NULL,2/26/2023,Unknown,Israel,401
Twitter,"SF Bay Area",Consumer,200,0.1,2/25/2023,Post-IPO,"United States",12900
Ericsson,Stockholm,Other,8500,0.08,2/24/2023,Post-IPO,Sweden,663
"SAP Labs",Bengaluru,Other,300,NULL,2/24/2023,Subsidiary,India,1300
"Velodyne Lidar","SF Bay Area",Transportation,220,NULL,2/24/2023,Acquired,"United States",575
Medallia,"SF Bay Area",Support,59,NULL,2/24/2023,Acquired,"United States",325
"Eat Just","SF Bay Area",Food,40,NULL,2/24/2023,Unknown,"United States",465
"Lucira Health","SF Bay Area",Healthcare,26,NULL,2/24/2023,Post-IPO,"United States",132
Stax,Orlando,Finance,24,NULL,2/24/2023,"Series D","United States",263
Poshmark,"SF Bay Area",Retail,NULL,0.02,2/24/2023,Acquired,"United States",153
Merative,"Ann Arbor",Healthcare,200,0.1,2/23/2023,Acquired,"United States",NULL
OneFootball,Berlin,Marketing,150,0.32,2/23/2023,"Series D",Germany,442
"The Iconic",Sydney,Retail,69,0.06,2/23/2023,Unknown,Australia,NULL
EVgo,"Los Angeles",Transportation,40,NULL,2/23/2023,Post-IPO,"United States",400
StrongDM,"SF Bay Area",Infrastructure,40,NULL,2/23/2023,"Series B","United States",76
"Dapper Labs",Vancouver,Crypto,NULL,0.2,2/23/2023,"Series D","United States",607
Messari,"New York City",Crypto,NULL,0.15,2/23/2023,"Series B","United States",61
"Vibrent Health","Washington D.C.",Healthcare,NULL,0.13,2/23/2023,Unknown,"United States",NULL
Synamedia,London,Media,200,0.12,2/22/2023,Unknown,"United Kingdom",NULL
TaskUs,"San Antonio",Support,186,NULL,2/22/2023,Post-IPO,"United States",279
"Arch Oncology","St. Louis",Healthcare,NULL,NULL,2/22/2023,"Series C","United States",155
Immutable,Sydney,Crypto,NULL,0.11,2/22/2023,"Series C",Australia,279
"Jounce Therapeutics",Boston,Healthcare,NULL,0.57,2/22/2023,Acquired,"United States",194
Locomation,Pittsburgh,Transportation,NULL,1,2/22/2023,Seed,"United States",57
Polygon,Bengaluru,Crypto,100,0.2,2/21/2023,Unknown,India,451
Crunchyroll,Tokyo,Media,85,NULL,2/21/2023,Unknown,Japan,26
"Ethos Life","SF Bay Area",Finance,50,NULL,2/21/2023,"Series D","United States",406
Bolt,Lagos,Transportation,17,NULL,2/21/2023,"Series F",Nigeria,NULL
Criteo,Paris,Marketing,NULL,NULL,2/21/2023,Post-IPO,France,61
"Green Labs",Seoul,Food,NULL,NULL,2/21/2023,"Series C","South Korea",214
PeerStreet,"Los Angeles","Real Estate",NULL,NULL,2/21/2023,"Series C","United States",121
Zalando,Berlin,Retail,NULL,NULL,2/21/2023,Post-IPO,Germany,467
MyGate,Bengaluru,Other,200,0.3,2/20/2023,"Series B",India,79
Fireblocks,"New York City",Crypto,30,0.05,2/20/2023,"Series E","United States",1000
Kinde,Sydney,Other,8,0.28,2/20/2023,Seed,Australia,10
Fipola,Chennai,Food,NULL,1,2/20/2023,"Series A","United States",9
HP,"Tel Aviv",Hardware,100,NULL,2/19/2023,Post-IPO,Israel,4200
Tencent,Shenzen,Consumer,300,NULL,2/17/2023,Post-IPO,China,12600
Evernote,"SF Bay Area",Consumer,129,NULL,2/17/2023,Acquired,"United States",290
"Chipper Cash","SF Bay Area",Finance,100,0.33,2/17/2023,"Series C","United States",302
Digimarc,Portland,Other,NULL,NULL,2/17/2023,Post-IPO,"United States",105
Reserve,"SF Bay Area",Crypto,NULL,NULL,2/17/2023,Unknown,"United States",NULL
DocuSign,"SF Bay Area",Sales,680,0.1,2/16/2023,Post-IPO,"United States",536
"Pico Interactive","SF Bay Area",Other,400,0.2,2/16/2023,Acquired,"United States",62
"The RealReal","SF Bay Area",Retail,230,0.07,2/16/2023,Post-IPO,"United States",356
Smartsheet,Seattle,Other,85,0.03,2/16/2023,Post-IPO,"United States",152
Convoy,Atlanta,Logistics,NULL,NULL,2/16/2023,"Series E","United States",1100
Wix,"Tel Aviv",Marketing,370,0.06,2/15/2023,Post-IPO,Israel,58
ServiceTitan,"Los Angeles",Sales,221,0.08,2/15/2023,"Series G","United States",1100
Neon,"Sao Paulo",Finance,210,0.09,2/15/2023,"Series D",Brazil,720
Jellysmack,Paris,Media,208,NULL,2/15/2023,"Series C",France,22
DigitalOcean,"New York City",Infrastructure,200,0.11,2/15/2023,Post-IPO,"United States",491
Sprinklr,"New York City",Support,100,0.04,2/15/2023,Post-IPO,"United States",429
Betterment,"New York City",Finance,28,NULL,2/15/2023,"Series F","United States",435
"Divvy Homes","SF Bay Area","Real Estate",NULL,NULL,2/15/2023,"Series B","United States",180
Milkrun,Sydney,Food,NULL,0.2,2/15/2023,"Series A",Australia,86
Momentive,"SF Bay Area",Marketing,NULL,0.14,2/15/2023,Post-IPO,"United States",1100
Observe.AI,"SF Bay Area",Support,NULL,NULL,2/15/2023,"Series C","United States",214
"Religion of Sports","Los Angeles",Media,NULL,NULL,2/15/2023,"Series B","United States",63
Tackle,Boise,Other,NULL,0.15,2/15/2023,"Series C","United States",148
"Vicarious Surgical",Boston,Healthcare,NULL,0.14,2/15/2023,Post-IPO,"United States",185
CommerceHub,Albany,Retail,371,0.31,2/14/2023,Acquired,"United States",NULL
HackerEarth,"SF Bay Area",HR,NULL,0.08,2/14/2023,"Series B","United States",11
